ID                                    CREATE_TIME                DURATION  SOURCE                                                                                                                                          IMAGES                                                                                  STATUS
d4a55551-acc7-4dc3-b30d-04e672562a42  2020-06-04T09:33:10+00:00  7M        gs://860072850109.cloudbuild-source.googleusercontent.com/d28f6c7ea924ff7e4deac3b465460ecf486f1a3c-815e3610-8ebe-4da4-b70d-423503fc8540.tar.gz  gcr.io/banba-group/pasapay-test:d28f6c7ea924ff7e4deac3b465460ecf486f1a3c (+2 more)     SUCCESS
1d940fe6-05fb-4f76-b008-5b58fbfe4af8  2020-06-04T06:26:21+00:00  15M18S    gs://860072850109.cloudbuild-source.googleusercontent.com/3d1f0d073b717ddba8875f26f8fcfd54c87576d1-64993a89-c9dc-4b39-8f99-4f79517ba178.tar.gz  gcr.io/banba-group/pasapay:3d1f0d073b717ddba8875f26f8fcfd54c87576d1 (+3 more)          SUCCESS
fc9c246c-4ae8-4554-82e7-41950e9c451c  2020-06-04T06:25:29+00:00  7M8S      gs://860072850109.cloudbuild-source.googleusercontent.com/c7fc91fe3e92fcabf9f7d9740116aef66e212819-4a733991-e7ae-4989-8029-50bffbe55495.tar.gz  gcr.io/banba-group/pasapay-test:c7fc91fe3e92fcabf9f7d9740116aef66e212819 (+2 more)     SUCCESS
ff2923a9-d77f-4b70-85bb-d66fb826055a  2020-06-04T04:44:47+00:00  15M16S    gs://860072850109.cloudbuild-source.googleusercontent.com/2494212a870b9164b15dbba4be109cc34f7ffe87-b600997d-644e-47bd-8ff9-9c7514275984.tar.gz  gcr.io/banba-group/pasapay:2494212a870b9164b15dbba4be109cc34f7ffe87 (+3 more)          SUCCESS
18706885-ece4-49ab-a134-ffa68b22e9b4  2020-06-04T04:43:25+00:00  1M54S     gs://860072850109.cloudbuild-source.googleusercontent.com/3a333495ecf6cbf3b73ba6879d3f72e809875984-24fea1d8-0fc8-45d6-9dab-d823c5215a65.tar.gz  gcr.io/banba-group/www-pasapay-com:3a333495ecf6cbf3b73ba6879d3f72e809875984 (+2 more)  SUCCESS
072f77d8-5dab-4a60-92f2-b5124eb8b79f  2020-06-04T04:42:56+00:00  1M52S     gs://860072850109.cloudbuild-source.googleusercontent.com/066d96dda40423587030b7dd0de194cc385cf1eb-66045f4f-7e29-4f59-9df6-56d367f76241.tar.gz  gcr.io/banba-group/www-pasapay-com:066d96dda40423587030b7dd0de194cc385cf1eb (+2 more)  SUCCESS
9113aeda-02c7-4a0b-a52a-3291668f4c1b  2020-06-04T04:42:48+00:00  6M44S     gs://860072850109.cloudbuild-source.googleusercontent.com/728ff46d41abd5d628ddcc43e06cf2482c7e8c40-b64b4167-de41-4aab-8ded-5bec8bc3a113.tar.gz  gcr.io/banba-group/pasapay-test:728ff46d41abd5d628ddcc43e06cf2482c7e8c40 (+2 more)     SUCCESS
4fd97740-ae78-4780-b310-bf1115544c3e  2020-06-03T11:37:02+00:00  1M37S     gs://860072850109.cloudbuild-source.googleusercontent.com/104a08d97a49fec04797fb06dc48c392e1468b9c-819e5fc5-1c0b-4895-bf8e-885ca4e92702.tar.gz  gcr.io/banba-group/www-pasapay-com:104a08d97a49fec04797fb06dc48c392e1468b9c (+2 more)  SUCCESS
3bb2508f-3c8a-45f0-8c10-27a8b4088a87  2020-06-03T11:08:49+00:00  6M50S     gs://860072850109.cloudbuild-source.googleusercontent.com/2c4a82231c9d9ad3a662674c22886e32d7bd8306-4bd73e23-9b3e-4924-8c77-4dbb067d0ece.tar.gz  gcr.io/banba-group/pasapay-test:2c4a82231c9d9ad3a662674c22886e32d7bd8306 (+2 more)     SUCCESS
1613fdf7-1349-4b53-a6c5-0906f7e3d874  2020-06-03T10:57:19+00:00  7M6S      gs://860072850109.cloudbuild-source.googleusercontent.com/945f04873b546893223fa8f3425c54f198c48a93-211eafb7-60fb-4b39-9df1-c201a9566fb3.tar.gz  gcr.io/banba-group/pasapay-test:945f04873b546893223fa8f3425c54f198c48a93 (+2 more)     SUCCESS
94db92ea-fda3-4d64-a88a-4878923dc41e  2020-06-03T09:04:09+00:00  7M36S     gs://860072850109.cloudbuild-source.googleusercontent.com/aaea920b96a946e27ea1481bd19bfc56b1e0a71e-f6f20381-53ee-4732-bc39-925aecf5b48c.tar.gz  gcr.io/banba-group/pasapay-test:aaea920b96a946e27ea1481bd19bfc56b1e0a71e (+2 more)     SUCCESS
a5d97cab-0f0f-4dbb-aeec-621bfaa42d98  2020-06-03T05:56:36+00:00  6M44S     gs://860072850109.cloudbuild-source.googleusercontent.com/5a341a308096385d51cfb93c46c299c01d5c7326-181cd609-f35b-4fc4-8cfc-79dac443d77c.tar.gz  gcr.io/banba-group/pasapay-test:5a341a308096385d51cfb93c46c299c01d5c7326 (+2 more)     SUCCESS

ID                                    CREATE_TIME                DURATION  SOURCE                                                                                                                                          IMAGES                                                                                 STATUS
1b7f7b3a-3516-4d09-813f-7c30f8500160  2020-06-03T03:55:47+00:00  14M27S    gs://860072850109.cloudbuild-source.googleusercontent.com/c65a1e3abb2b359bbd30c964d562007b775b507b-a3610cfa-3f37-4e42-ae5f-0c58abbb4ac4.tar.gz  gcr.io/banba-group/pasapay:c65a1e3abb2b359bbd30c964d562007b775b507b (+3 more)          SUCCESS
9604baa5-b899-47b1-8d59-29663d358509  2020-06-03T03:50:57+00:00  6M44S     gs://860072850109.cloudbuild-source.googleusercontent.com/8d8f4269dbf22d3e5033ce7a085e01f603532cf3-9d82e5dd-35c6-462e-a01c-df31a86a0dc6.tar.gz  gcr.io/banba-group/pasapay-test:8d8f4269dbf22d3e5033ce7a085e01f603532cf3 (+2 more)     SUCCESS
0362d792-9f82-4f0b-98d0-c6b6b59a7e93  2020-06-03T03:50:19+00:00  6M54S     gs://860072850109.cloudbuild-source.googleusercontent.com/060b326327eb4426746ebcf6dab1fd5706de6300-e1f0134a-6fad-45c3-95b8-03bfda576e01.tar.gz  gcr.io/banba-group/pasapay-test:060b326327eb4426746ebcf6dab1fd5706de6300 (+2 more)     SUCCESS
891cfbfe-7951-4f73-9e2f-18f0419de163  2020-06-02T12:49:34+00:00  7M19S     gs://860072850109.cloudbuild-source.googleusercontent.com/5a8b05c7dca59a37f060f1c4d2b49b3fab9dff27-bae566ba-21a1-4a62-a9e4-83dce39429f7.tar.gz  gcr.io/banba-group/pasapay-test:5a8b05c7dca59a37f060f1c4d2b49b3fab9dff27 (+2 more)     SUCCESS
4dec3689-d5fa-4f68-8c82-9783aa5a15d3  2020-06-02T11:51:15+00:00  6M38S     gs://860072850109.cloudbuild-source.googleusercontent.com/4084f74a5a3ed71cf53e38f678d9426e9b57ccee-55a7a7e8-49d9-4bf1-bcbf-9f627f2e5224.tar.gz  gcr.io/banba-group/pasapay-test:4084f74a5a3ed71cf53e38f678d9426e9b57ccee (+2 more)     SUCCESS
86436515-034d-4b2d-bbf7-257dc3362d86  2020-06-02T11:50:15+00:00  7M34S     gs://860072850109.cloudbuild-source.googleusercontent.com/498106d010a0d1cd2e90c8e9ae413e2460c622b9-15ff2577-d200-4b8b-a202-051b7b0c7345.tar.gz  gcr.io/banba-group/pasapay-test:498106d010a0d1cd2e90c8e9ae413e2460c622b9 (+2 more)     SUCCESS
94755135-ac8c-4906-bc2d-28b558fb62a4  2020-06-02T10:57:39+00:00  1M50S     gs://860072850109.cloudbuild-source.googleusercontent.com/dfe8c0896a0b167c33c17b1099943dcc018bd987-63eae8c9-dae9-4d1a-a80d-85ce299eb9aa.tar.gz  gcr.io/banba-group/www-pasapay-com:dfe8c0896a0b167c33c17b1099943dcc018bd987 (+2 more)  SUCCESS
71f1816c-99fa-499d-aedd-5ab2e4f6758c  2020-06-02T09:20:07+00:00  14M28S    gs://860072850109.cloudbuild-source.googleusercontent.com/b832d6f9c9ebd5843530ce0380f808c86a529ec7-250f25b3-1ddc-4f0b-9faa-15d608fe902f.tar.gz  gcr.io/banba-group/pasapay:b832d6f9c9ebd5843530ce0380f808c86a529ec7 (+3 more)          SUCCESS
626df5ba-c990-4c47-b511-b15eee47430a  2020-06-02T09:18:50+00:00  6M52S     gs://860072850109.cloudbuild-source.googleusercontent.com/df68957e5131dbbbf783fd7545e9eb4facce48d9-98db024c-16ac-4120-b5e3-65d423951bef.tar.gz  gcr.io/banba-group/pasapay-test:df68957e5131dbbbf783fd7545e9eb4facce48d9 (+2 more)     SUCCESS
e5bda178-ab3f-4a3c-a4a2-da574e959c44  2020-06-02T09:17:34+00:00  7M14S     gs://860072850109.cloudbuild-source.googleusercontent.com/24da83d010b5746dafbd80d6e5a10b113f15b7eb-471747a6-5f5e-4698-9f94-7cef7289e6fa.tar.gz  gcr.io/banba-group/pasapay-test:24da83d010b5746dafbd80d6e5a10b113f15b7eb (+2 more)     SUCCESS
